"search_timestamp","org_list__auth_type","org_list__address","org_list__domain_ip_cnt","org_list__np_time_list__np_time","org_list__corp_regno","org_list__org_type","org_list__relay_org_code","org_list__industry","org_list__np_time_cnt","org_list__ip_list__ip","org_list__cert_oid","org_list__cert_issuer_dn","org_list__serial_num","org_list__ip_cnt","org_list__domain_ip_list__domain_ip","org_list__domain","org_list__op_type","org_list__is_rcv_org","org_list__org_name","org_list__org_regno","org_list__org_code","rsp_code","org_cnt","rsp_msg"
"","01","(03188) 서울특별시 종로구 청계천로 41 (서린동, 중국은행) 영풍빌딩 1-3층 ","","0130:0430","1101810017985","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","중국은행 주식회사 서울지점","102-84-03526","A2AAKC0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(04514) 서울특별시 중구 세종대로 73 (서소문동, 태평로빌딩) 1층 16층 18층","","0100:0700","1101810024295","02","ZWAAEA0000","bank","1","","","","","0","","","I","false","중국공상은행","202-84-30492","A2AALS0000","","",""
"","01","(04513) 서울특별시 중구 세종대로 39 (남대문로4가, 대한서울상공회의소) 2층, 5층","","0030:2330","1101810056595","02","ZWAAEA0000","bank","1","","","","","0","","","I","false","인도네시아느가라은행 서울지점","201-84-03236","A2AARG0000","","",""
"","01","(04511) 서울특별시 중구 칠패로 37 (봉래동1가, HSBC은행)","","0900:1700","1101810007150","02","ZWAAEA0000","bank","1","","","","","0","","","I","false","홍콩상하이은행","102-84-00679","A2AARH0000","","",""
"","01","(04522) 서울특별시 중구 남대문로 113 (다동, 동부다동빌딩)","","0100:0500","1101110135627","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","디비저축은행","101-81-05267","A3AAJY0000","","",""
"","","","","2100:2330","","","","","","","","","","","","","","","","","","","",""
"","01","(04539) 서울특별시 중구 을지로5길 26 (수하동, 미래에셋센터원(MiraeAssetCENTER1)) 동관","","2000:2300","1101110121981","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","(주)에스비아이저축은행","101-81-19005","A3AAJZ0000","","",""
"","","","","0300:0600","","","","","","","","","","","","","","","","","","","",""
"","01","(06133) 서울특별시 강남구 테헤란로 127 (역삼동, 그레이스타워) 하나금융그룹 강남사옥 16층, 17층","","0030:2330","1101114781129","02","ZWAAEA0000","bank","1","","","","","0","","","I","false","하나저축은행","101-86-69306","A3AAKB0000","","",""
"","01","(06160) 서울특별시 강남구 테헤란로 419 (삼성동, 강남파이낸스플라자) 예가람저축은행","","0100:0400","1101113221960","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","(주)예가람저축은행","107-86-66267","A3AAKE0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(06593) 서울특별시 서초구 서초중앙로 203 (반포동, 오에스비저축은행)","","0200:0600","1101110127161","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","OSB저축은행","114-81-44553","A3AAKJ0000","","",""
"","","","","2000:2200","","","","","","","","","","","","","","","","","","","",""
"","01","(06044) 서울특별시 강남구 강남대로 556 (논현동, 논현빌딩) 7층","","0100:0400","1101110124018","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","(주)HB저축은행","114-81-50870","A3AAKK0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(06530) 서울특별시 서초구 강남대로 581 (잠원동, 푸른빌딩)","","0100:0500","1101110117211","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","푸른저축은행","114-81-64092","A3AAKL0000","","",""
"","","","","2100:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(06178) 서울특별시 강남구 테헤란로 504 (대치동, 해성빌딩) 다올저축은행","","0100:0400","1101110129977","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","다올저축은행","120-81-11421","A3AAKP0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(06151) 서울특별시 강남구 테헤란로 317 (역삼동, 우리저축은행) 엔에이치저축은행","","0030:0630","1101114548230","02","ZWAAEA0000","bank","1","","","","","0","","","I","false","엔에이치저축은행","120-87-65609","A3AAKR0000","","",""
"","01","(04551) 서울특별시 중구 을지로 100 (을지로2가, 파인에비뉴) B동 15,16,17층","","0100:0400","1101114937780","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","제이티친애저축은행","120-87-86754","A3AAKS0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(04540) 서울특별시 중구 청계천로 54 (삼각동, 신한금융그룹) 신한저축은행","","2100:2300","1101114996166","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","신한저축은행","120-87-90239","A3AAKT0000","","",""
"","","","","0100:0500","","","","","","","","","","","","","","","","","","","",""
"","03","(04382) 서울특별시 용산구 한강대로 148 (한강로2가, 웰컴금융타워) 웰컴금융타워","1","0030:0900","1101115062346","01","ZWAAEA0000","bank","1","211.171.127.206","","","120-87-93876","3","211.171.127.233:7771","https://mydata.welcomebank.co.kr:7771","I","false","웰컴저축은행","120-87-93876","A3AAKU0000","","",""
"","","","","","","","","","","211.171.127.236","","","","","","","","","","","","","",""
"","","","","","","","","","","211.171.127.235","","","","","","","","","","","","","",""
"","01","(21360) 인천광역시 부평구 부흥로 307 (부평동) 금화저축은행","","0100:0400","1201110000688","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","금화저축은행","122-81-33192","A3AAKW0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(13591) 경기도 성남시 분당구 황새울로 340 (서현동, 페퍼존빌딩) 페퍼존빌딩","","0100:0400","1341110008868","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","페퍼저축은행","123-81-10571","A3AAKX0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(13996) 경기도 안양시 만안구 안양로 250 (안양동) 안양저축은행","","0100:0400","1341110008850","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","안양저축은행","123-81-10590","A3AAKY0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(13997) 경기도 안양시 만안구 장내로 124 (안양동, 벽산아파트상가동) 부림저축은행","","0100:0400","1341110009171","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","부림저축은행","123-81-11037","A3AAKZ0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(17911) 경기도 평택시 평택1로 23 (평택동) 평택저축은행","","0100:0400","1347110000581","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","평택상호저축은행","125-81-02437","A3AALA0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(12909) 경기도 하남시 미사강변대로 208 (망월동, 우승프라자) 2층 삼정저축은행","","0100:0400","1342110001381","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","삼정저축은행","126-81-03123","A3AALB0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(17374) 경기도 이천시 중리천로 50 (중리동, 세람상호저축은행)","","2000:2300","1344110001030","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","세람저축은행","126-81-03142","A3AALC0000","","",""
"","","","","0100:0400","","","","","","","","","","","","","","","","","","","",""
